Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
South Carolina,7,73,Gonzaga,1,77,Gonzaga,False
Oregon,3,76,North Carolina,1,77,North Carolina,False
