Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Villanova,1,76,Mount St. Mary's,16,56,Villanova,True
Wisconsin,8,84,Virginia Tech,9,74,Wisconsin,True
Virginia,5,76,UNC Wilmington,12,71,Virginia,True
Florida,4,80,East Tenn. St.,13,65,Florida,True
SMU,6,65,USC,11,66,USC,False
Baylor,3,91,New Mexico St.,14,73,Baylor,True
South Carolina,7,93,Marquette,10,73,South Carolina,True
Duke,2,87,Troy,15,65,Duke,True
Gonzaga,1,66,South Dakota St.,16,46,Gonzaga,True
Northwestern,8,68,Vanderbilt,9,66,Northwestern,True
Notre Dame,5,60,Princeton,12,58,Notre Dame,True
West Virginia,4,86,Bucknell,13,80,West Virginia,True
Maryland,6,65,Xavier,11,76,Xavier,False
Florida St.,3,86,Fla. Gulf Coast,14,80,Florida St.,True
Saint Mary's,7,85,VCU,10,77,Saint Mary's,True
Arizona,2,100,North Dakota,15,82,Arizona,True
Kansas,1,100,UC Davis,16,62,Kansas,True
Miami (FL),8,58,Michigan St.,9,78,Michigan St.,False
Iowa St.,5,84,Nevada,12,73,Iowa St.,True
Purdue,4,80,Vermont,13,70,Purdue,True
Creighton,6,72,Rhode Island,11,84,Rhode Island,False
Oregon,3,93,Iona,14,77,Oregon,True
Michigan,7,92,Oklahoma St.,10,91,Michigan,True
Louisville,2,78,Jacksonville St.,15,63,Louisville,True
North Carolina,1,103,Texas Southern,16,64,North Carolina,True
Arkansas,8,77,Seton Hall,9,71,Arkansas,True
Minnesota,5,72,Middle Tenn.,12,81,Middle Tenn.,False
Butler,4,76,Winthrop,13,64,Butler,True
Cincinnati,6,75,Kansas St.,11,61,Cincinnati,True
UCLA,3,97,Kent St.,14,80,UCLA,True
Dayton,7,58,Wichita St.,10,64,Wichita St.,False
Kentucky,2,79,N Kentucky,15,70,Kentucky,True
