Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Gonzaga,1,83,Xavier,11,59,Gonzaga,True
Florida,4,70,South Carolina,7,77,South Carolina,False
North Carolina,1,75,Kentucky,2,73,North Carolina,True
Kansas,1,60,Oregon,3,74,Oregon,False
